NOTA_VENTA,PRODUCTO,DESCRIPCION,PROCESO,ESTADO
13994,REL1100002528.509B,"RELLENO 110C25 28.5 09B CELDA 249",OTRO,LISTA
13994,REL1100002528.509B,"RELLENO 110C25 28.5 09B CELDA 249",ENCOLADO,LISTA
13994,REL1100002528.509B,"RELLENO 110C25 28.5 09B CELDA 249",MULTIPLE,LISTA
13995,REL0950002137.709B,"RELLENO 95C21 37.7 09B CELDA 287",OTRO,LISTA
13995,REL0950002137.709B,"RELLENO 95C21 37.7 09B CELDA 287",ENCOLADO,LISTA
13995,REL0950002137.709B,"RELLENO 95C21 37.7 09B CELDA 287",MULTIPLE,LISTA
13996,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",EMPLACADO,LISTA
13996,TRO047004700201C32,"TAPA 470*470*200 C32 TRO OCTO",OTRO,LISTA
13997,REL0950001839.509B,"RELLENO 95C18 39.5 09B CELDA 287",MULTIPLE,LISTA
13997,REL0950001839.509B,"RELLENO 95C18 39.5 09B CELDA 287",OTRO,LISTA
13997,REL0950001839.509B,"RELLENO 95C18 39.5 09B CELDA 287",ENCOLADO,LISTA
13998,REL0950001837.509B,"RELLENO 95C18 37,5 09B CELDA 287.",MULTIPLE,PENDIENTE
13998,REL0950001837.509B,"RELLENO 95C18 37,5 09B CELDA 287.",OTRO,PENDIENTE
13998,REL0950001837.509B,"RELLENO 95C18 37,5 09B CELDA 287.",ENCOLADO,PENDIENTE
13999,REL1100002528.509B,"RELLENO 110C25 28.5 09B CELDA 249",OTRO,LISTA
13999,REL1100002528.509B,"RELLENO 110C25 28.5 09B CELDA 249",ENCOLADO,LISTA
13999,REL1100002528.509B,"RELLENO 110C25 28.5 09B CELDA 249",MULTIPLE,LISTA
14000,REL1100002532.509B,"RELLENO 110C25 32.5 09B CELDA 249",OTRO,LISTA
14000,REL1100002532.509B,"RELLENO 110C25 32.5 09B CELDA 249",ENCOLADO,LISTA
14000,REL1100002532.509B,"RELLENO 110C25 32.5 09B CELDA 249",MULTIPLE,LISTA
14001,CAJ039503600325D92,"CAJA 395*360*325 D92 NO.",PLIZADO,LISTA
14001,CAJ039503600325D92,"CAJA 395*360*325 D92 NO.",CALADO,LISTA
14001,CAJ039503600325D92,"CAJA 395*360*325 D92 NO.",PEGADO,LISTA
14001,CAJ039503600325D92,"CAJA 395*360*325 D92 NO.",TROZADO,LISTA
14001,CAJ039503600325D92,"CAJA 395*360*325 D92 NO.",OTRO,LISTA
14001,CAJ039503600325D92,"CAJA 395*360*325 D92 NO.",IMPRESION,LISTA
14002,REL11000020003809B,"RELLENO 110C20 A 38.0 09B CELDA 291",MULTIPLE,LISTA
14002,REL11000020003809B,"RELLENO 110C20 A 38.0 09B CELDA 291",OTRO,LISTA
14002,REL11000020003809B,"RELLENO 110C20 A 38.0 09B CELDA 291",ENCOLADO,LISTA
14003,REL0950003232.710E,"RELLENO 95C32 32.7 10E CELDA 201",MULTIPLE,LISTA
14003,REL0950003232.710E,"RELLENO 95C32 32.7 10E CELDA 201",OTRO,LISTA
14003,REL0950003232.710E,"RELLENO 95C32 32.7 10E CELDA 201",ENCOLADO,LISTA
14004,REL0950003237.710E,"RELLENO 95C32 37.7 10E CELDA 201",MULTIPLE,LISTA
14004,REL0950003237.710E,"RELLENO 95C32 37.7 10E CELDA 201",OTRO,LISTA
14004,REL0950003237.710E,"RELLENO 95C32 37.7 10E CELDA 201",ENCOLADO,LISTA
14005,TRO149712980150D92,"TAPA 750*540*320*150 D92 TRO RECTOCTO S/V",TROZADO,LISTA
14005,TRO149712980150D92,"TAPA 750*540*320*150 D92 TRO RECTOCTO S/V",TROQUELADO,LISTA
14006,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",PEGADO,LISTA
14006,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",IMPRESION,LISTA
